epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,607.535,0.67232,1.18376,0.84206,0.89073,0.38216,0.17042,0.18793,0.15477,0.35195,0.17424,0.1853,0.14435,1.11246,2.20377,2.86325,1.12644,0.000138536,0.000138536,0.000138536
51,619.574,0.68112,1.24916,0.85561,0.89797,0.38208,0.17192,0.18218,0.15359,0.37424,0.17883,0.17878,0.14471,1.10377,2.12884,2.88665,1.12421,0.000137658,0.000137658,0.000137658
52,631.549,0.69639,1.27458,0.8663,0.90218,0.43936,0.16547,0.18226,0.15227,0.44373,0.16243,0.17967,0.14009,1.09158,2.11631,2.86686,1.12472,0.000136766,0.000136766,0.000136766
53,643.723,0.707,1.31138,0.89745,0.91079,0.45289,0.16289,0.17245,0.14736,0.45012,0.16205,0.17017,0.13511,1.12295,2.1675,2.89617,1.12822,0.00013586,0.00013586,0.00013586
54,655.621,0.71799,1.35437,0.93062,0.91284,0.36224,0.20215,0.19069,0.1538,0.42348,0.17514,0.18766,0.14656,1.13641,2.21823,2.94869,1.14881,0.000134941,0.000134941,0.000134941
55,667.646,0.70204,1.29266,0.85223,0.89809,0.29403,0.23267,0.17876,0.1499,0.29269,0.23492,0.17677,0.14147,1.12179,2.19953,2.90484,1.14164,0.000134008,0.000134008,0.000134008
56,679.651,0.70141,1.28098,0.83892,0.89154,0.37677,0.20337,0.18516,0.15267,0.37551,0.20045,0.18198,0.14274,1.1073,2.18157,2.88852,1.14052,0.000133063,0.000133063,0.000133063
57,691.667,0.6831,1.29938,0.84051,0.89868,0.39414,0.21425,0.20126,0.16891,0.39024,0.21248,0.19752,0.15786,1.09513,2.16866,2.81918,1.13694,0.000132105,0.000132105,0.000132105
58,703.654,0.68041,1.24162,0.82929,0.89186,0.42837,0.1895,0.2032,0.16744,0.42268,0.18782,0.19875,0.15521,1.12304,2.21631,2.87625,1.15406,0.000131134,0.000131134,0.000131134
59,715.719,0.68587,1.2243,0.84277,0.88856,0.31064,0.22732,0.19643,0.16604,0.30009,0.22769,0.1922,0.15058,1.11125,2.14462,2.87739,1.12477,0.000130151,0.000130151,0.000130151
60,727.637,0.6759,1.22916,0.82537,0.88997,0.24066,0.24432,0.19564,0.16672,0.23731,0.23738,0.19407,0.15419,1.09693,2.1771,2.85526,1.117,0.000129155,0.000129155,0.000129155
61,739.614,0.68239,1.25703,0.84423,0.89007,0.42664,0.19146,0.19227,0.16102,0.42207,0.19084,0.18856,0.15011,1.09682,2.20366,2.91514,1.11948,0.000128149,0.000128149,0.000128149
62,751.472,0.66903,1.25614,0.84027,0.88978,0.25181,0.23402,0.19447,0.16115,0.25087,0.23274,0.18991,0.14551,1.09392,2.19406,2.91968,1.12009,0.00012713,0.00012713,0.00012713
63,763.349,0.66258,1.18554,0.82604,0.89495,0.28784,0.2399,0.20007,0.16895,0.28811,0.23795,0.19787,0.15818,1.0919,2.22535,2.86638,1.1295,0.0001261,0.0001261,0.0001261
64,775.234,0.66118,1.21288,0.80651,0.88801,0.30689,0.22348,0.19146,0.15779,0.30443,0.22258,0.18841,0.14428,1.08626,2.25889,2.94556,1.13458,0.000125059,0.000125059,0.000125059
65,787.131,0.67867,1.17853,0.80297,0.90155,0.32182,0.21145,0.19894,0.16985,0.31758,0.20787,0.19547,0.1598,1.0926,2.25888,2.85617,1.14481,0.000124008,0.000124008,0.000124008
66,799.022,0.68457,1.25959,0.8286,0.89576,0.48789,0.16557,0.18413,0.15574,0.48816,0.16332,0.18256,0.144,1.10033,2.22886,2.78397,1.13935,0.000122946,0.000122946,0.000122946
67,810.968,0.66682,1.25973,0.84667,0.89065,0.42849,0.18014,0.21117,0.17828,0.27135,0.22693,0.2086,0.17054,1.12159,2.21924,2.89148,1.1473,0.000121873,0.000121873,0.000121873
68,822.889,0.66154,1.24505,0.80911,0.89486,0.39423,0.14667,0.17326,0.14597,0.3896,0.1457,0.16937,0.13743,1.12019,2.19215,2.97311,1.14294,0.000120791,0.000120791,0.000120791
69,834.827,0.66481,1.24399,0.81816,0.89164,0.3782,0.19665,0.19448,0.16651,0.37646,0.19648,0.19178,0.15528,1.09275,2.23486,2.8924,1.13472,0.000119698,0.000119698,0.000119698
70,846.761,0.66415,1.24275,0.80246,0.89554,0.3366,0.21936,0.21166,0.18136,0.33035,0.21763,0.20846,0.17051,1.10282,2.20911,2.95104,1.1473,0.000118597,0.000118597,0.000118597
71,858.582,0.66467,1.20573,0.80369,0.88406,0.22622,0.21701,0.18075,0.15107,0.22548,0.21577,0.17712,0.14037,1.11146,2.23324,2.95118,1.13381,0.000117486,0.000117486,0.000117486
72,870.596,0.69874,1.3275,0.85134,0.89821,0.33009,0.1877,0.17048,0.13803,0.3098,0.20455,0.16868,0.13288,1.11577,2.18627,2.89119,1.1365,0.000116366,0.000116366,0.000116366
73,882.596,0.66755,1.22914,0.81835,0.88927,0.43987,0.18007,0.19362,0.16077,0.40634,0.17976,0.18891,0.15391,1.10214,2.19025,2.87746,1.13762,0.000115237,0.000115237,0.000115237
74,894.63,0.66515,1.20729,0.81165,0.89221,0.37934,0.20229,0.19547,0.16518,0.37875,0.20164,0.19294,0.15195,1.08523,2.22013,2.8733,1.12493,0.000114101,0.000114101,0.000114101
75,906.616,0.65298,1.2293,0.8095,0.88918,0.29421,0.23399,0.19306,0.16681,0.29084,0.2325,0.19131,0.15462,1.08822,2.16265,2.84679,1.12585,0.000112956,0.000112956,0.000112956
76,918.536,0.66574,1.20762,0.84188,0.88627,0.36791,0.19127,0.1873,0.15974,0.39382,0.18462,0.1839,0.14805,1.09831,2.22704,2.97851,1.12784,0.000111803,0.000111803,0.000111803
77,930.475,0.64692,1.17637,0.7994,0.884,0.28456,0.2303,0.18386,0.15593,0.2814,0.22984,0.18054,0.14651,1.09154,2.22003,2.93133,1.12327,0.000110643,0.000110643,0.000110643
78,942.552,0.65754,1.17956,0.79114,0.88701,0.22148,0.2096,0.18881,0.15638,0.22026,0.20681,0.18574,0.1466,1.0933,2.20605,2.86726,1.12238,0.000109475,0.000109475,0.000109475
79,954.59,0.66249,1.20422,0.79169,0.88421,0.42223,0.16404,0.17831,0.15012,0.41519,0.16256,0.1756,0.1389,1.07639,2.15427,2.87802,1.11719,0.000108301,0.000108301,0.000108301
80,966.558,0.67276,1.2174,0.76617,0.88687,0.35321,0.19084,0.1932,0.16391,0.34626,0.19025,0.19202,0.1551,1.09136,2.18151,2.90841,1.13044,0.00010712,0.00010712,0.00010712
81,978.417,0.67783,1.27983,0.83017,0.89929,0.30065,0.21653,0.2016,0.1704,0.30254,0.2181,0.20076,0.15984,1.10176,2.19451,2.95577,1.12651,0.000105932,0.000105932,0.000105932
82,990.285,0.68385,1.29447,0.84121,0.89414,0.40812,0.16835,0.17878,0.15206,0.40355,0.16658,0.17699,0.14239,1.10275,2.14792,2.92755,1.13582,0.000104739,0.000104739,0.000104739
83,1002.13,0.64575,1.18494,0.76924,0.88251,0.39896,0.17582,0.16273,0.13447,0.33354,0.18045,0.15917,0.12299,1.09548,2.20024,2.86926,1.13561,0.000103539,0.000103539,0.000103539
84,1013.99,0.63848,1.20212,0.76354,0.89075,0.32043,0.19677,0.18864,0.15267,0.26078,0.21961,0.18526,0.14733,1.08661,2.17826,2.91787,1.13209,0.000102334,0.000102334,0.000102334
85,1025.91,0.64553,1.20273,0.7895,0.8813,0.33257,0.23159,0.20712,0.16985,0.33358,0.22951,0.20412,0.15706,1.07937,2.19368,2.81958,1.12747,0.000101124,0.000101124,0.000101124
86,1037.89,0.64639,1.19412,0.79152,0.89127,0.34192,0.21348,0.20501,0.16997,0.33196,0.21775,0.20245,0.15959,1.09471,2.22239,2.90225,1.14432,9.99094e-05,9.99094e-05,9.99094e-05
87,1049.96,0.63754,1.17758,0.79656,0.88151,0.38997,0.19148,0.19602,0.16116,0.39149,0.19383,0.19508,0.15619,1.08538,2.19792,2.92218,1.12725,9.86899e-05,9.86899e-05,9.86899e-05
88,1061.85,0.65058,1.23832,0.76338,0.89059,0.48152,0.15685,0.19558,0.16249,0.48119,0.15621,0.19311,0.15247,1.08802,2.19455,2.89474,1.12278,9.74661e-05,9.74661e-05,9.74661e-05
89,1073.77,0.62134,1.13295,0.7306,0.87739,0.36348,0.20023,0.19434,0.15937,0.35971,0.19882,0.19062,0.15128,1.08386,2.17134,2.86902,1.107,9.62384e-05,9.62384e-05,9.62384e-05
90,1085.86,0.64417,1.15219,0.7595,0.87544,0.39209,0.1776,0.19356,0.15912,0.38715,0.17725,0.18875,0.15086,1.08063,2.23501,2.83762,1.10914,9.50069e-05,9.50069e-05,9.50069e-05
91,1097.85,0.6661,1.22666,0.76975,0.8923,0.34826,0.20659,0.20336,0.16728,0.34114,0.20408,0.19898,0.15844,1.10413,2.21015,2.94563,1.11903,9.3772e-05,9.3772e-05,9.3772e-05
